Number,Pokemon,Type1,Type2,HP,Attack,Defense,Special,Speed,GIF,PNG
252,Treecko,GRASS,,40,45,35,65,70,https://play.pokemonshowdown.com/sprites/bwani/treecko.gif,https://play.pokemonshowdown.com/sprites/bw/treecko.png
253,Grovyle,GRASS,,50,65,45,85,95,https://play.pokemonshowdown.com/sprites/bwani/grovyle.gif,https://play.pokemonshowdown.com/sprites/bw/grovyle.png
254,Sceptile,GRASS,,70,85,65,105,120,https://play.pokemonshowdown.com/sprites/bwani/sceptile.gif,https://play.pokemonshowdown.com/sprites/bw/sceptile.png
255,Torchic,FIRE,,45,60,40,70,45,https://play.pokemonshowdown.com/sprites/bwani/torchic.gif,https://play.pokemonshowdown.com/sprites/bw/torchic.png
256,Combusken,FIRE,FIGHTING,60,85,60,85,55,https://play.pokemonshowdown.com/sprites/bwani/combusken.gif,https://play.pokemonshowdown.com/sprites/bw/combusken.png
257,Blaziken,FIRE,FIGHTING,80,120,70,110,80,https://play.pokemonshowdown.com/sprites/bwani/blaziken.gif,https://play.pokemonshowdown.com/sprites/bw/blaziken.png
258,Mudkip,WATER,,50,70,50,50,40,https://play.pokemonshowdown.com/sprites/bwani/mudkip.gif,https://play.pokemonshowdown.com/sprites/bw/mudkip.png
259,Marshtomp,WATER,GROUND,70,85,70,60,50,https://play.pokemonshowdown.com/sprites/bwani/marshtomp.gif,https://play.pokemonshowdown.com/sprites/bw/marshtomp.png
260,Swampert,WATER,GROUND,100,110,90,85,60,https://play.pokemonshowdown.com/sprites/bwani/swampert.gif,https://play.pokemonshowdown.com/sprites/bw/swampert.png
261,Poochyena,DARK,,35,55,35,30,35,https://play.pokemonshowdown.com/sprites/bwani/poochyena.gif,https://play.pokemonshowdown.com/sprites/bw/poochyena.png
262,Mightyena,DARK,,70,90,70,60,70,https://play.pokemonshowdown.com/sprites/bwani/mightyena.gif,https://play.pokemonshowdown.com/sprites/bw/mightyena.png
263,Zigzagoon,NORMAL,,38,30,41,30,60,https://play.pokemonshowdown.com/sprites/bwani/zigzagoon.gif,https://play.pokemonshowdown.com/sprites/bw/zigzagoon.png
264,Linoone,NORMAL,,78,70,61,50,100,https://play.pokemonshowdown.com/sprites/bwani/linoone.gif,https://play.pokemonshowdown.com/sprites/bw/linoone.png
265,Wurmple,BUG,,45,45,35,20,20,https://play.pokemonshowdown.com/sprites/bwani/wurmple.gif,https://play.pokemonshowdown.com/sprites/bw/wurmple.png
266,Silcoon,BUG,,50,35,55,25,15,https://play.pokemonshowdown.com/sprites/bwani/silcoon.gif,https://play.pokemonshowdown.com/sprites/bw/silcoon.png
267,Beautifly,BUG,FLYING,60,70,50,100,65,https://play.pokemonshowdown.com/sprites/bwani/beautifly.gif,https://play.pokemonshowdown.com/sprites/bw/beautifly.png
268,Cascoon,BUG,,50,35,55,25,15,https://play.pokemonshowdown.com/sprites/bwani/cascoon.gif,https://play.pokemonshowdown.com/sprites/bw/cascoon.png
269,Dustox,BUG,POISON,60,50,70,50,65,https://play.pokemonshowdown.com/sprites/bwani/dustox.gif,https://play.pokemonshowdown.com/sprites/bw/dustox.png
270,Lotad,WATER,GRASS,40,30,30,40,30,https://play.pokemonshowdown.com/sprites/bwani/lotad.gif,https://play.pokemonshowdown.com/sprites/bw/lotad.png
271,Lombre,WATER,GRASS,60,50,50,60,50,https://play.pokemonshowdown.com/sprites/bwani/lombre.gif,https://play.pokemonshowdown.com/sprites/bw/lombre.png
272,Ludicolo,WATER,GRASS,80,70,70,90,70,https://play.pokemonshowdown.com/sprites/bwani/ludicolo.gif,https://play.pokemonshowdown.com/sprites/bw/ludicolo.png
273,Seedot,GRASS,,40,40,50,30,30,https://play.pokemonshowdown.com/sprites/bwani/seedot.gif,https://play.pokemonshowdown.com/sprites/bw/seedot.png
274,Nuzleaf,GRASS,DARK,70,70,40,60,60,https://play.pokemonshowdown.com/sprites/bwani/nuzleaf.gif,https://play.pokemonshowdown.com/sprites/bw/nuzleaf.png
275,Shiftry,GRASS,DARK,90,100,60,90,80,https://play.pokemonshowdown.com/sprites/bwani/shiftry.gif,https://play.pokemonshowdown.com/sprites/bw/shiftry.png
276,Taillow,NORMAL,FLYING,40,55,30,30,85,https://play.pokemonshowdown.com/sprites/bwani/taillow.gif,https://play.pokemonshowdown.com/sprites/bw/taillow.png
277,Swellow,NORMAL,FLYING,60,85,60,75,125,https://play.pokemonshowdown.com/sprites/bwani/swellow.gif,https://play.pokemonshowdown.com/sprites/bw/swellow.png
278,Wingull,WATER,FLYING,40,30,30,55,85,https://play.pokemonshowdown.com/sprites/bwani/wingull.gif,https://play.pokemonshowdown.com/sprites/bw/wingull.png
279,Pelipper,WATER,FLYING,60,50,100,95,65,https://play.pokemonshowdown.com/sprites/bwani/pelipper.gif,https://play.pokemonshowdown.com/sprites/bw/pelipper.png
280,Ralts,PSYCHIC,,28,25,25,45,40,https://play.pokemonshowdown.com/sprites/bwani/ralts.gif,https://play.pokemonshowdown.com/sprites/bw/ralts.png
281,Kirlia,PSYCHIC,,38,35,35,65,50,https://play.pokemonshowdown.com/sprites/bwani/kirlia.gif,https://play.pokemonshowdown.com/sprites/bw/kirlia.png
